Player,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Brennan Menell,R,D,1997-05-24,Woodbury,MN,USA,USA,71,177,--,--,--,20192020,N,5,0,0,0
Justin Mercier,L,C,1987-06-25,Erie,PA,USA,USA,71,190,2005,6,168,20092010,N,9,1,1,2
Nicholas Merkley,L,R,1997-05-23,Calgary,AB,CAN,CAN,70,194,2015,1,30,20172018,N,31,3,9,12
Dakota Mermis,L,D,1994-01-05,Alton,IL,USA,USA,72,196,--,--,--,20172018,N,22,1,3,4
Jon Merrill,L,D,1992-02-03,Oklahoma City,OK,USA,USA,75,195,2010,2,38,20132014,N,400,12,54,66
Michael Mersch,L,L,1992-10-02,Park Ridge,IL,USA,USA,74,210,2011,4,110,20152016,N,17,1,2,3
Andrej Meszaros,L,D,1985-10-13,Pova_x001a_ská Bystrica,--,SVK,SVK,74,223,2004,1,23,20052006,N,347,35,77,112
Victor Mete,L,D,1998-06-07,Woodbridge,ON,CAN,CAN,69,184,2016,4,100,20172018,N,195,5,30,35
Marc Methot,L,D,1985-06-21,Ottawa,ON,CAN,CAN,76,230,2003,6,168,20062007,N,529,18,84,102
Glen Metropolit,R,C,1974-06-25,Toronto,ON,CAN,CAN,70,196,--,--,--,19992000,N,69,16,13,29
Freddy Meyer,L,D,1981-01-04,Sanbornville,NH,USA,USA,70,185,--,--,--,20032004,N,79,5,12,17
Stefan Meyer,L,L,1985-07-20,Medicine Hat,AB,CAN,CAN,74,200,2003,2,55,20072008,N,16,0,2,2
Marc Michaelis,L,L,1995-07-31,Mannheim,--,DEU,DEU,71,187,--,--,--,20202021,N,8,0,0,0
Milan Michalek,L,L,1984-12-07,Jindrichuv Hradec,--,CZE,CZE,74,225,2003,1,6,20032004,N,430,117,115,232
Zbynek Michalek,R,D,1982-12-23,Jindrichuv Hradec,--,CZE,CZE,74,210,--,--,--,20032004,N,441,18,62,80
Jacob Middleton,L,D,1996-01-02,Wainwright,AB,CAN,CAN,75,210,2014,7,210,20182019,N,14,0,3,3
Keaton Middleton,L,D,1998-02-10,Edmonton,AB,CAN,CAN,78,240,2016,4,101,20202021,N,3,0,0,0
Andy Miele,L,C,1988-04-15,Grosse Pointe Woods,MI,USA,USA,67,169,--,--,--,20112012,N,15,0,2,2
Antti Miettinen,R,R,1980-07-03,Hämeenlinna,--,FIN,FIN,72,190,2000,7,224,20032004,N,219,44,51,95
Vladimir Mihalik,L,D,1987-01-29,Presov,--,SVK,SVK,80,246,2005,1,30,20082009,N,4,0,0,0
Ilya Mikheyev,L,R,1994-10-10,Omsk,--,RUS,RUS,75,195,--,--,--,20192020,N,89,14,25,39
Brendan Mikkelson,L,D,1987-06-22,Regina,SK,CAN,CAN,75,210,2005,2,31,20082009,N,97,1,7,8
Niko Mikkola,L,D,1996-04-27,--,--,FIN,FIN,76,185,2015,5,127,20192020,N,29,1,2,3
Sonny Milano,L,L,1996-05-12,Massapequa,NY,USA,USA,72,194,2014,1,16,20152016,N,131,22,25,47
Andrew Miller,R,C,1988-09-18,Bloomfield Hills,MI,USA,USA,70,181,--,--,--,20142015,N,15,1,5,6
Colin Miller,R,D,1992-10-29,Sault Ste. Marie,ON,CAN,CAN,73,199,2012,5,151,20152016,N,346,27,93,120
Drew Miller,L,L,1984-02-17,Dover,NJ,USA,USA,74,183,2003,6,186,20072008,N,518,56,51,107
J.T. Miller,L,C,1993-03-14,East Palestine,OH,USA,USA,73,218,2011,1,15,20122013,N,546,133,210,343
K'Andre Miller,L,D,2000-01-21,St. Paul,MN,USA,USA,77,210,2018,1,22,20202021,N,50,4,7,11
Kevan Miller,R,D,1987-11-15,Los Angeles,CA,USA,USA,74,210,--,--,--,20132014,N,349,13,58,71
Brad Mills,R,C,1983-05-03,Terrace,BC,CAN,CAN,72,195,--,--,--,20102011,N,34,1,1,2
Chris Minard,L,L,1981-11-18,Owen Sound,ON,CAN,CAN,73,190,--,--,--,20072008,N,5,0,1,1
Andrei Mironov,L,D,1994-07-29,Moscow,--,RUS,RUS,75,194,2015,4,101,20172018,N,10,1,2,3
Garrett Mitchell,R,R,1991-09-02,Regina,SK,CAN,CAN,71,198,2009,6,174,20162017,N,1,0,0,0
Ian Mitchell,R,D,1999-01-18,St. Albert,AB,CAN,CAN,71,173,2017,2,57,20202021,N,36,3,3,6
John Mitchell,L,C,1985-01-22,Oakville,ON,CAN,CAN,73,204,2003,5,158,20082009,N,472,58,90,148
Torrey Mitchell,R,C,1985-01-30,Greenfield Park,QC,CAN,CAN,71,186,2004,4,126,20072008,N,584,57,75,132
Willie Mitchell,L,D,1977-04-23,Port McNeill,BC,CAN,CAN,75,210,1996,8,199,19992000,N,369,19,54,73
Zack Mitchell,R,R,1993-01-07,Orangeville,ON,CAN,CAN,73,196,--,--,--,20162017,N,34,3,2,5
Casey Mittelstadt,L,C,1998-11-22,Eden Prairie,MN,USA,USA,73,196,2017,1,8,20172018,N,152,27,33,60
Mike Modano,L,C,1970-06-07,Livonia,MI,USA,USA,75,212,1988,1,1,19891990,Y,99,18,27,45
Freddy Modin,L,L,1974-10-08,Sundsvall,--,SWE,SWE,76,220,1994,3,64,19961997,N,84,12,9,21
Travis Moen,L,L,1982-04-06,Stewart Valley,SK,CAN,CAN,74,215,2000,5,155,20032004,N,385,30,50,80
Griffen Molino,L,C,1994-01-21,Trenton,MI,USA,USA,71,171,--,--,--,20162017,N,5,0,0,0
Oscar Moller,R,R,1989-01-22,Stockholm,--,SWE,SWE,70,189,2007,2,52,20082009,N,47,5,6,11
Sean Monahan,L,C,1994-10-12,Brampton,ON,CAN,CAN,74,200,2013,1,6,20132014,N,589,204,235,439
Steve Montador,R,D,1979-12-21,Vancouver,BC,CAN,CAN,72,210,--,--,--,20012002,N,203,15,48,63
Brandon Montour,R,D,1994-04-11,Brantford,ON,CAN,CAN,72,194,2014,2,55,20162017,N,292,31,78,109
Dominic Moore,L,C,1980-08-03,Thornhill,ON,CAN,CAN,72,192,2000,3,95,20032004,N,592,71,111,182
Greg Moore,R,R,1984-03-26,Lisbon,ME,USA,USA,73,225,2003,5,143,20072008,N,4,0,0,0
John Moore,L,D,1990-11-19,Winnetka,IL,USA,USA,74,210,2009,1,21,20102011,N,537,38,79,117
Mike Moore,L,D,1984-12-12,Lloydminster,SK,CAN,CAN,73,210,--,--,--,20102011,N,6,1,0,1
Trevor Moore,L,C,1995-03-31,Thousand Oaks,CA,USA,USA,70,185,--,--,--,20182019,N,116,17,23,40
Ethan Moreau,L,L,1975-09-22,Huntsville,ON,CAN,CAN,75,223,1994,1,14,19951996,N,141,11,17,28
Jeremy Morin,R,L,1991-04-16,Auburn,NY,USA,USA,73,195,2009,2,45,20102011,N,82,10,12,22
Samuel Morin,L,L,1995-07-12,Lac-Beauport,QC,CAN,CAN,78,202,2013,1,11,20162017,N,27,1,0,1
Travis Morin,L,C,1984-01-09,Minneapolis,MN,USA,USA,73,200,2004,9,263,20102011,N,13,0,1,1
Derek Morris,R,D,1978-08-24,Edmonton,AB,CAN,CAN,72,210,1996,1,13,19971998,N,314,16,68,84
Brendan Morrison,L,C,1975-08-15,Pitt Meadows,BC,CAN,CAN,71,176,1993,2,39,19971998,N,179,25,71,96
Shaone Morrisonn,L,D,1982-12-23,Vancouver,BC,CAN,CAN,76,210,2001,1,19,20022003,N,130,2,15,17
Josh Morrissey,L,D,1995-03-28,Calgary,AB,CAN,CAN,72,195,2013,1,13,20152016,N,339,28,101,129
Brenden Morrow,L,L,1979-01-16,Carlyle,SK,CAN,CAN,71,212,1997,1,25,19992000,N,400,92,94,186
Joe Morrow,L,D,1992-12-09,Edmonton,AB,CAN,CAN,72,196,2011,1,23,20142015,N,162,9,23,32
Simon Moser,L,C,1989-03-10,Bern,--,CHE,CHE,74,215,--,--,--,20132014,N,6,1,1,2
David Moss,R,R,1981-12-28,Livonia,MI,USA,USA,76,210,2001,7,220,20062007,N,338,44,66,110
Johan Motin,R,D,1989-10-10,Karlskoga,--,SWE,SWE,74,220,2008,4,103,20092010,N,1,0,0,0
Mike Mottau,L,D,1978-03-19,Quincy,MA,USA,USA,72,195,1997,7,182,20002001,N,142,2,21,23
Tyler Motte,L,C,1995-03-10,St. Clair,MI,USA,USA,70,192,2013,4,121,20162017,N,211,28,19,47
Kael Mouillierat,L,L,1987-12-09,Edmonton,AB,CAN,CAN,72,188,--,--,--,20142015,N,7,1,1,2
Matt Moulson,L,L,1983-11-01,North York,ON,CAN,CAN,73,203,2003,9,263,20072008,N,621,170,189,359
Vojtech Mozik,R,D,1992-12-26,Prague,--,CZE,CZE,75,200,--,--,--,20152016,N,7,0,0,0
Chris Mueller,R,C,1986-03-06,West Seneca,NY,USA,USA,70,201,--,--,--,20102011,N,53,3,7,10
Marcel Mueller,L,C,1988-07-10,Berlin,--,DEU,DEU,75,220,--,--,--,20102011,N,3,0,0,0
Mirco Mueller,L,D,1995-03-21,Winterthur,--,CHE,CHE,75,210,2013,1,18,20142015,N,185,5,23,28
Peter Mueller,R,C,1988-04-14,Bloomington,MN,USA,USA,74,204,2006,1,8,20072008,N,144,28,42,70
Connor Murphy,R,D,1993-03-26,Dublin,OH,USA,USA,76,212,2011,1,20,20132014,N,490,28,81,109
Cory Murphy,R,D,1978-02-13,Kanata,ON,CAN,CAN,69,175,--,--,--,20072008,N,12,2,1,3
Ryan Murphy,R,D,1993-03-31,Aurora,ON,CAN,CAN,71,181,2011,1,12,20122013,N,175,8,35,43
Trevor Murphy,L,D,1995-07-17,Windsor,ON,CAN,CAN,70,180,--,--,--,20172018,N,8,1,2,3
Andrew Murray,L,C,1981-11-06,Selkirk,MB,CAN,CAN,74,210,2001,8,242,20072008,N,115,10,9,19
Douglas Murray,L,D,1980-03-12,Bromma,--,SWE,SWE,75,240,1999,8,241,20052006,N,308,6,37,43
Ryan Murray,L,D,1993-09-27,Regina,SK,CAN,CAN,73,206,2012,1,2,20132014,N,391,15,108,123
Jan Mursak,R,L,1988-01-20,Maribor,--,SVN,SVN,71,190,2006,6,182,20102011,N,46,2,2,4
David Musil,L,D,1993-04-09,Calgary,AB,CAN,CAN,76,207,2011,2,31,20142015,N,4,0,2,2
Jake Muzzin,L,D,1989-02-21,Woodstock,ON,CAN,CAN,75,217,2007,5,141,20102011,N,628,65,208,273
Philippe Myers,R,D,1997-01-25,Moncton,NB,CAN,CAN,77,210,--,--,--,20182019,N,111,6,22,28
Tyler Myers,R,D,1990-02-01,Houston,TX,USA,CAN,80,229,2008,1,12,20092010,N,748,85,219,304
Jakub Nakladal,R,D,1987-12-30,Hradec Králové,--,CZE,CZE,74,212,--,--,--,20152016,N,30,2,3,5
Vladislav Namestnikov,L,C,1992-11-22,Zhukovskiy,--,RUS,RUS,72,183,2011,1,27,20132014,N,476,89,115,204
Brendon Nash,L,D,1987-03-31,Calgary,AB,CAN,CAN,75,210,--,--,--,20102011,N,2,0,0,0
Rick Nash,L,L,1984-06-16,Brampton,ON,CAN,CAN,76,211,2002,1,1,20022003,N,619,243,207,450
Riley Nash,R,C,1989-05-09,Consort,AB,CAN,CAN,74,188,2007,1,21,20112012,N,578,63,109,172
Joonas Nattinen,R,C,1991-01-03,Jamsa,--,FIN,FIN,75,192,2009,3,65,20132014,N,1,0,0,0
James Neal,L,L,1987-09-03,Whitby,ON,CAN,CAN,75,212,2005,2,33,20082009,N,767,269,246,515
Martin Necas,R,C,1999-01-15,Nove Mesto na Morave,--,CZE,CZE,74,189,2017,1,12,20172018,N,121,29,47,76
Chris Neil,R,R,1979-06-18,Flesherton,ON,CAN,CAN,73,209,1998,6,161,20012002,N,515,51,65,116
Brock Nelson,L,C,1991-10-15,Warroad,MN,USA,USA,76,212,2010,1,30,20132014,N,600,166,158,324
Casey Nelson,R,D,1992-07-18,Wisconsin Rapids,WI,USA,USA,73,185,--,--,--,20152016,N,93,4,14,18
Patrik Nemeth,L,D,1992-02-08,Stockholm,--,SWE,SWE,75,228,2010,2,41,20132014,N,359,8,49,57
Greg Nemisz,R,R,1990-06-05,Courtice,ON,CAN,CAN,75,197,2008,1,25,20102011,N,15,0,1,1
Aaron Ness,L,D,1990-05-18,Roseau,MN,USA,USA,70,184,2008,2,40,20112012,N,71,1,6,7
Nikita Nesterov,L,D,1993-03-28,Chelyabinsk,--,RUS,RUS,71,191,2011,5,148,20142015,N,166,9,27,36
Andrej Nestrasil,L,C,1991-02-22,Prague,--,CZE,CZE,75,200,2009,3,75,20142015,N,128,17,31,48
Kris Newbury,L,C,1982-02-19,Brampton,ON,CAN,CAN,71,205,2002,5,139,20062007,N,32,1,3,4
Scott Nichol,R,C,1974-12-31,Edmonton,AB,CAN,CAN,68,179,1993,11,272,19951996,N,245,12,23,35
Valeri Nichushkin,L,R,1995-03-04,Chelyabinsk,--,RUS,RUS,76,210,2013,1,10,20132014,N,336,45,75,120
Rob Niedermayer,L,C,1974-12-28,Cassiar,BC,CAN,CAN,74,203,1993,1,5,19931994,N,142,15,26,41
Scott Niedermayer,L,D,1973-08-31,Edmonton,AB,CAN,CAN,73,194,1991,1,3,19911992,Y,80,10,38,48
Nino Niederreiter,L,R,1992-09-08,Chur,--,CHE,CHE,74,218,2010,1,5,20102011,N,653,155,167,322
Frans Nielsen,L,C,1984-04-24,Herning,--,DNK,DNK,73,186,2002,3,87,20062007,N,835,155,280,435
Matt Nieto,L,L,1992-11-05,Long Beach,CA,USA,USA,71,185,2011,2,47,20132014,N,500,67,91,158
Boo Nieves,L,C,1994-01-23,Syracuse,NY,USA,USA,75,214,2012,2,59,20162017,N,76,5,14,19
Nikita Nikitin,L,D,1986-06-16,Omsk,--,RUS,RUS,76,217,2004,5,136,20102011,N,259,17,59,76
Sami Niku,L,D,1996-10-10,Haapavesi,--,FIN,FIN,73,176,2015,7,198,20172018,N,54,2,8,10
Jacob Nilsson,L,C,1993-10-12,Morrum,--,SWE,SWE,70,180,--,--,--,20182019,N,2,0,0,0
Robert Nilsson,L,C,1985-01-10,Calgary,AB,CAN,CAN,71,185,2003,1,15,20052006,N,60,11,16,27
Matt Niskanen,R,D,1986-12-06,Virginia,MN,USA,USA,73,203,2005,1,28,20072008,N,791,59,236,295
Andreas Nodl,L,R,1987-02-28,Vienna,--,AUT,AUT,73,196,2006,2,39,20082009,N,145,14,18,32
Stefan Noesen,R,R,1993-02-12,Plano,TX,USA,USA,73,205,2011,1,21,20142015,N,204,31,23,54
Nelson Nogier,R,D,1996-05-27,Saskatoon,SK,CAN,CAN,74,191,2014,4,101,20162017,N,11,0,0,0
Petteri Nokelainen,R,C,1986-01-16,Imatra,--,FIN,FIN,73,201,2004,1,16,20052006,N,123,8,12,20
Jordan Nolan,L,C,1989-06-23,"Garden River, First Nations",ON,CAN,CAN,75,219,2009,7,185,20112012,N,375,24,28,52
Owen Nolan,R,R,1972-02-12,Belfast,--,GBR,CAN,73,214,1990,1,1,19901991,N,73,16,17,33
Joakim Nordstrom,L,C,1992-02-25,Stockholm,--,SWE,SWE,73,194,2010,3,90,20132014,N,439,32,40,72
Maxim Noreau,R,D,1987-05-24,Montreal,QC,CAN,CAN,72,194,--,--,--,20092010,N,6,0,0,0
Josh Norris,L,C,1999-05-05,Oxford,MI,USA,USA,73,201,2017,1,19,20192020,N,55,15,17,32
Tomas Nosek,L,L,1992-09-01,Pardubice,--,CZE,CZE,74,205,--,--,--,20152016,N,257,32,34,66
Ryan Nugent-Hopkins,L,C,1993-04-12,Burnaby,BC,CAN,CAN,72,184,2011,1,1,20112012,N,649,183,292,475
Darnell Nurse,L,D,1995-02-04,Hamilton,ON,CAN,CAN,76,221,2013,1,7,20142015,N,399,44,108,152
Markus Nutivaara,L,D,1994-06-06,Oulu,--,FIN,FIN,73,187,2015,7,189,20162017,N,272,17,53,70
Joakim Nygard,L,L,1993-01-08,Stockholm,--,SWE,SWE,72,179,--,--,--,20192020,N,41,3,6,9
Alex Nylander,R,L,1998-03-02,Calgary,AB,CAN,CAN,73,192,2016,1,8,20162017,N,84,13,19,32
William Nylander,R,R,1996-05-01,Calgary,AB,CAN,SWE,72,196,2014,1,8,20152016,N,354,102,158,260
Gustav Nyquist,L,C,1989-09-01,Halmstad,--,SWE,SWE,71,180,2008,4,121,20112012,N,570,146,202,348
Eric Nystrom,L,L,1983-02-14,Syosset,NY,USA,USA,73,200,2002,1,10,20052006,N,471,67,36,103
Jim O'Brien,R,C,1989-01-29,Maplewood,MN,USA,USA,75,195,2007,1,29,20102011,N,77,8,5,13
Liam O'Brien,L,C,1994-07-29,Halifax,NS,CAN,CAN,73,213,--,--,--,20142015,N,29,1,4,5
Shane O'Brien,L,D,1983-08-09,Port Hope,ON,CAN,CAN,75,230,2003,8,250,20062007,N,303,7,38,45
Ryan O'Byrne,R,D,1984-07-19,Victoria,BC,CAN,CAN,77,234,2003,3,79,20072008,N,238,4,23,27
Drew O'Connor,L,L,1998-06-09,Chatham,NJ,USA,USA,75,200,--,--,--,20202021,N,10,0,1,1
Logan O'Connor,R,R,1996-08-14,Missouri City,TX,USA,USA,72,175,--,--,--,20182019,N,43,5,2,7
Eric O'Dell,R,C,1990-06-21,Ottawa,ON,CAN,CAN,73,200,2008,2,39,20132014,N,41,3,5,8
Sean O'Donnell,L,D,1971-10-13,Ottawa,ON,CAN,CAN,74,238,1991,6,123,19941995,N,210,4,36,40
Rob O'Gara,L,D,1993-07-06,Massapequa,NY,USA,USA,76,214,2011,5,151,20162017,N,33,0,3,3
Ryan O'Marra,R,C,1987-06-09,Tokyo,--,JPN,CAN,74,220,2005,1,15,20092010,N,33,1,6,7
Brian O'Neill,L,R,1988-06-01,Yardley,PA,USA,USA,69,175,--,--,--,20152016,N,22,0,2,2
Wes O'Neill,L,D,1986-03-03,Windsor,ON,CAN,CAN,76,215,2004,4,115,20082009,N,2,0,0,0
Will O'Neill,L,D,1988-04-28,Boston,MA,USA,USA,73,190,2006,7,210,20172018,N,1,0,0,0
Danny O'Regan,R,C,1994-01-30,Berlin,--,DEU,USA,70,180,2012,5,138,20162017,N,25,1,4,5
Cal O'Reilly,L,C,1986-09-30,Toronto,ON,CAN,CAN,72,188,2005,5,150,20082009,N,134,13,31,44
Ryan O'Reilly,L,C,1991-02-07,Clinton,ON,CAN,CAN,73,216,2009,2,33,20092010,N,853,217,391,608
Patrick O'Sullivan,L,C,1985-02-01,Toronto,ON,CAN,CAN,71,189,2003,2,56,20062007,N,127,15,31,46
Evan Oberg,L,D,1988-02-16,Forestburg,AB,CAN,CAN,72,191,--,--,--,20092010,N,7,0,0,0
Johnny Oduya,L,D,1981-10-01,Stockholm,--,SWE,SWE,72,191,2001,7,221,20062007,N,617,26,98,124
Jordan Oesterle,L,D,1992-06-25,Dearborn Heights,MI,USA,USA,72,182,--,--,--,20142015,N,248,15,50,65
Mattias Ohlund,L,D,1976-09-09,Pitea,--,SWE,SWE,76,233,1994,1,13,19971998,N,139,0,18,18
Kyle Okposo,R,R,1988-04-16,St. Paul,MN,USA,USA,72,220,2006,1,7,20072008,N,761,178,297,475
Jamie Oleksiak,L,D,1992-12-21,Toronto,ON,CAN,CAN,79,255,2011,1,14,20122013,N,365,23,48,71
Steve Oleksy,R,D,1986-02-04,Chesterfield,MI,USA,USA,71,188,--,--,--,20122013,N,73,3,17,20
Rostislav Olesz,L,L,1985-10-10,Bilovec,--,CZE,CZE,74,215,2004,1,7,20052006,N,138,20,28,48
Mathieu Olivier,R,R,1997-02-11,Biloxi,MS,USA,USA,74,210,--,--,--,20192020,N,37,3,3,6
Gustav Olofsson,L,D,1994-12-01,Boras,--,SWE,SWE,74,199,2013,2,46,20152016,N,59,0,11,11
Victor Olofsson,L,L,1995-07-18,Ornskoldsvik,--,SWE,SWE,71,182,2014,7,181,20182019,N,113,35,41,76
Dylan Olsen,L,D,1991-01-03,Salt Lake City,UT,USA,USA,74,223,2009,1,28,20112012,N,124,5,17,22
Peter Olvecky,L,L,1985-10-11,Nove Zamky,--,SVK,SVN,74,220,2004,3,78,20082009,N,1,0,0,0
Mark Olver,L,C,1988-01-01,Burnaby,BC,CAN,CAN,70,170,2008,5,140,20102011,N,74,10,12,22
Linus Omark,L,L,1987-02-05,Övertorneå,--,SWE,SWE,70,187,2007,4,97,20102011,N,79,8,24,32
Victor Oreskovich,R,R,1986-08-15,Whitby,ON,CAN,CAN,75,215,2004,2,55,20092010,N,67,2,7,9
Dmitry Orlov,L,D,1991-07-23,Novokuznetsk,--,RUS,RUS,71,211,2009,2,55,20112012,N,563,45,153,198
Brooks Orpik,L,D,1980-09-26,San Francisco,CA,USA,USA,75,217,2000,1,18,20022003,N,659,12,127,139
Colton Orr,R,R,1982-03-03,Winnipeg,MB,CAN,CAN,75,222,--,--,--,20032004,N,232,8,5,13
Jed Ortmeyer,R,R,1978-09-03,Omaha,NE,USA,USA,72,200,--,--,--,20032004,N,115,9,12,21
Oskar Osala,L,L,1987-12-26,Vaasa,--,FIN,FIN,76,219,2006,4,97,20082009,N,1,0,0,0
T.J. Oshie,R,R,1986-12-23,Everett,WA,USA,USA,71,196,2005,1,24,20082009,N,796,242,325,567
Steve Ott,L,C,1982-08-19,Summerside,PE,CAN,CAN,72,193,2000,1,25,20022003,N,511,69,106,175
Xavier Ouellet,L,D,1993-07-29,Bayonne,--,FRA,FRA,72,199,2011,2,48,20132014,N,177,5,23,28
Alex Ovechkin,R,L,1985-09-17,Moscow,--,RUS,RUS,75,238,2004,1,1,20052006,N,872,511,389,900
Nathan Oystrick,L,D,1982-12-17,Regina,SK,CAN,CAN,71,213,2002,7,198,20082009,N,12,1,2,3
Igor Ozhiganov,R,D,1992-10-13,Krasnogorsk,--,RUS,RUS,74,210,--,--,--,20182019,N,53,3,4,7
Magnus Paajarvi,L,L,1991-04-12,Norrkoping,--,SWE,SWE,75,206,2009,1,10,20102011,N,467,62,62,124
Max Pacioretty,L,L,1988-11-20,New Canaan,CT,USA,USA,74,215,2007,1,22,20082009,N,777,301,293,594
Nathan Paetsch,L,D,1983-03-30,Leroy,SK,CAN,CAN,73,198,2003,7,202,20052006,N,21,1,1,2
Jean-Gabriel Pageau,R,C,1992-11-11,Ottawa,ON,CAN,CAN,70,180,2011,4,96,20122013,N,485,103,109,212
Samuel Pahlsson,L,C,1977-12-17,Ange,--,SWE,SWE,72,202,1996,7,176,20002001,N,241,14,39,53
Daniel Paille,L,L,1984-04-15,Welland,ON,CAN,CAN,73,200,2002,1,20,20052006,N,389,50,46,96
Iiro Pakarinen,R,R,1991-08-25,Loviisa,--,FIN,FIN,73,212,2011,7,184,20142015,N,134,10,13,23
Ondrej Palat,L,L,1991-03-28,Frydek-Mistek,--,CZE,CZE,72,194,2011,7,208,20122013,N,548,125,248,373
Michael Paliotta,R,D,1993-04-06,Westport,CT,USA,USA,76,207,2011,3,70,20142015,N,2,0,1,1
Jarod Palmer,R,C,1986-02-10,Fridley,MN,USA,USA,72,200,--,--,--,20112012,N,6,1,0,1
Kyle Palmieri,R,R,1991-02-01,Smithtown,NY,USA,USA,71,185,2009,1,26,20102011,N,608,184,174,358
Nick Palmieri,R,R,1989-07-12,Utica,NY,USA,USA,75,220,2007,3,79,20092010,N,87,13,12,25
Aaron Palushaj,R,R,1989-09-07,Livonia,MI,USA,USA,72,187,2007,2,44,20102011,N,68,3,11,14
Artemi Panarin,R,L,1991-10-30,Korkino,--,RUS,RUS,71,170,--,--,--,20152016,N,433,165,308,473
Jay Pandolfo,L,L,1974-12-27,Winchester,MA,USA,USA,73,190,1993,2,32,19961997,N,132,5,7,12
Richard Panik,L,R,1991-02-07,Martin,--,SVK,SVK,74,203,2009,2,52,20122013,N,515,88,104,192
Cedric Paquette,L,C,1993-08-13,Gaspe,QC,CAN,CAN,72,204,2012,4,101,20132014,N,424,51,42,93
Colton Parayko,R,D,1993-05-12,St. Albert,AB,CAN,CAN,78,230,2012,3,86,20152016,N,412,40,129,169
Adam Pardy,L,D,1984-03-29,Bonavista,NL,CAN,CAN,76,227,2004,6,173,20082009,N,282,3,39,42
Ryan Parent,L,D,1987-03-17,Prince Albert,SK,CAN,CAN,75,198,2005,1,18,20062007,N,52,1,2,3
PA Parenteau,R,R,1983-03-24,Hull,QC,CAN,CAN,72,200,2001,9,264,20062007,N,486,114,181,295
Zach Parise,L,L,1984-07-28,Minneapolis,MN,USA,USA,71,193,2003,1,17,20052006,N,731,271,286,557
Richard Park,R,R,1976-05-27,Seoul,--,KOR,USA,71,190,1994,2,50,19941995,N,135,16,29,45
Mark Parrish,R,R,1977-02-02,Bloomington,MN,USA,USA,71,199,1996,3,79,19981999,N,18,0,2,2
George Parros,R,R,1979-12-29,Washington,PA,USA,USA,77,224,1999,8,222,20052006,N,242,9,6,15
Scott Parse,R,L,1984-09-05,Portage,MI,USA,USA,71,189,2004,6,174,20092010,N,73,14,16,30
Brinson Pasichnuk,L,D,1997-11-24,Bonnyville,AB,CAN,CAN,72,205,--,--,--,20202021,N,1,0,0,0
David Pastrnak,R,R,1996-05-25,Havirov,--,CZE,CZE,72,194,2014,1,25,20142015,N,434,199,223,422
Greg Pateryn,R,D,1990-06-20,Sterling Heights,MI,USA,USA,74,212,2008,5,128,20122013,N,280,4,38,42
Nolan Patrick,R,C,1998-09-19,Winnipeg,MB,CAN,CAN,74,198,2017,1,2,20172018,N,193,30,40,70
Nick Paul,L,L,1995-03-20,Mississauga,ON,CAN,CAN,75,225,2013,4,101,20152016,N,164,17,29,46
Joe Pavelski,R,C,1984-07-11,Plover,WI,USA,USA,71,195,2003,7,205,20062007,N,874,333,377,710
Adam Payerl,R,C,1991-03-04,Kitchener,ON,CAN,CAN,75,218,--,--,--,20132014,N,2,0,0,0
Tanner Pearson,L,L,1992-08-10,Kitchener,ON,CAN,CAN,73,201,2012,1,30,20132014,N,498,118,112,230
Matthew Peca,L,C,1993-04-27,Petawawa,ON,CAN,CAN,68,182,2011,7,201,20162017,N,78,6,14,20
Theo Peckham,L,D,1987-11-10,Richmond Hill,ON,CAN,CAN,74,246,2006,3,75,20072008,N,144,4,13,17
Andrey Pedan,L,D,1993-07-03,Kaunas,--,LTU,LTU,77,213,2011,3,63,20152016,N,13,0,0,0
Lane Pederson,R,C,1997-08-04,Saskatoon,SK,CAN,CAN,72,190,--,--,--,20202021,N,12,1,2,3
Andrew Peeke,R,D,1998-03-17,Parkland,FL,USA,USA,75,197,2016,2,34,20192020,N,31,1,5,6
Adam Pelech,L,D,1994-08-16,Toronto,ON,CAN,CAN,75,205,2012,3,65,20152016,N,299,16,58,74
Matt Pelech,R,R,1987-09-04,Toronto,ON,CAN,CAN,76,230,2005,1,26,20082009,N,8,1,0,1
Pascal Pelletier,L,L,1983-06-16,Labrador City,NL,CAN,CAN,71,191,--,--,--,20072008,N,3,0,0,0
Rod Pelley,L,C,1984-09-01,Kitimat,BC,CAN,CAN,72,205,--,--,--,20062007,N,189,7,16,23
Derek Peltier,L,D,1985-03-14,Plymouth,MN,USA,USA,71,190,2004,6,184,20082009,N,3,0,0,0
Anthony Peluso,R,R,1989-04-18,North York,ON,CAN,CAN,75,225,2007,6,160,20122013,N,148,4,10,14
Dustin Penner,L,L,1982-09-28,Winkler,MB,CAN,CAN,76,247,--,--,--,20052006,N,328,78,96,174
Jeff Penner,R,D,1987-04-13,Steinbach,MB,CAN,CAN,70,183,--,--,--,20092010,N,2,0,0,0
Stuart Percy,L,D,1993-05-18,Oakville,ON,CAN,CAN,73,187,2011,1,25,20142015,N,12,0,3,3
Brendan Perlini,L,L,1996-04-27,Guildford,--,GBR,GBR,75,211,2014,1,12,20162017,N,239,46,30,76
Joel Perrault,R,C,1983-04-06,Montreal,QC,CAN,CAN,74,212,2001,5,137,20052006,N,9,1,0,1
